TestcaseName,StepDesc,ControlID,ControlAction,Data,Expected,Ignore
Login with valid account (has coupons and first login),Enter My Account Page,btnMenuMyAccount,click,,uiviewMyAccount,
,Enter Login Page,tablecellMyAccountLogin,click,,uiviewLogIn,
,Input Email Address,txtfieldEmailAddress,type,leo.lee@dji.com,,
,Input Password,sectxtfieldPassword,type,123456,,
,Login,btnLogin,click,,tablecellMyMessage,
,Check if coupon popup window exists,inner_screen,has_control,btnViewMyCoupons,btnClose,
,Close coupon popup window,btnClose,click,,!btnClose,
,,,,,,
Logout,Enter My Account Page,btnMenuMyAccount,click,,uiviewMyAccount,
,Enter System Settings,tablecellMyAccountSystemSettings,click,,btnLogout,
,Click Logout,btnLogout,click,,Do you want to log out?,
,Confirm logout alert,N/A,alert_accept,,tablecellMyAccountLogin,
,,,,,,
Login with valid account (has coupons and not first login),Enter My Account Page,btnMenuMyAccount,click,,uiviewMyAccount,
,Enter Login Page,tablecellMyAccountLogin,click,,uiviewLogIn,
,Input Email Address,txtfieldEmailAddress,type,leo.lee@dji.com,,
,Input Password,sectxtfieldPassword,type,123456,,
,Login,btnLogin,click,,tablecellMyMessage,
,Check if coupon popup window exists,inner_screen,has_no_control,btnViewMyCoupons,!btnClose,
,,,,,,
Logout,Enter My Account Page,btnMenuMyAccount,click,,uiviewMyAccount,
,Enter System Settings,tablecellMyAccountSystemSettings,click,,btnLogout,
,Click Logout,btnLogout,click,,Do you want to log out?,
,Confirm logout alert,N/A,alert_accept,,tablecellMyAccountLogin,
,,,,,,
